Data,dias,data,NO3,NH4,EPSA,Tsolo,Tirrig,Precp,Tmed,UR med,Vento,Insol,Rad,Evap,N2O
10/07/2015,0,1,1.78,20.37,53.47,18.30,0,0.00,20.60,64.70,2.10,7.80,14.40,3.30,0.60
,0,1,2.30,25.51,55.70,18.60,0,0.00,20.60,64.70,2.10,7.80,14.40,3.30,1.99
,0,1,2.52,28.08,51.51,19.00,0,0.00,20.60,64.70,2.10,7.80,14.40,3.30,0.23
,0,1,2.31,27.03,49.35,19.30,17,0.00,20.60,64.70,2.10,7.80,14.40,3.30,-0.80
,0,1,2.41,25.09,48.71,19.20,17,0.00,20.60,64.70,2.10,7.80,14.40,3.30,3.05
,0,1,27.70,29.49,52.00,23.20,17,0.00,20.60,64.70,2.10,7.80,14.40,3.30,2.92
,0,1,10.15,111.97,68.07,19.80,46,0.00,20.60,64.70,2.10,7.80,14.40,3.30,4.55
,0,1,5.49,57.86,65.30,20.20,46,0.00,20.60,64.70,2.10,7.80,14.40,3.30,0.26
,0,1,2.62,30.02,64.26,16.40,46,0.00,20.60,64.70,2.10,7.80,14.40,3.30,8.09
,0,1,4.99,48.15,71.53,20.30,75,0.00,20.60,64.70,2.10,7.80,14.40,3.30,7.21
,0,1,2.59,27.46,62.56,20.80,75,0.00,20.60,64.70,2.10,7.80,14.40,3.30,2.88
,0,1,5.34,57.73,62.96,22.80,75,0.00,20.60,64.70,2.10,7.80,14.40,3.30,19.00
14/07/2015,4,2,7.95,19.57,58.20,18.50,0,0.00,20.60,64.20,1.70,10.50,17.40,3.40,0.12
,4,2,7.95,21.28,55.07,20.50,0,0.00,20.60,64.20,1.70,10.50,17.40,3.40,-1.89
,4,2,3.59,26.39,50.79,20.20,0,0.00,20.60,64.20,1.70,10.50,17.40,3.40,-2.22
,4,2,5.42,17.87,24.23,20.50,17,0.00,20.60,64.20,1.70,10.50,17.40,3.40,5.05
,4,2,1.62,25.35,54.69,19.00,17,0.00,20.60,64.20,1.70,10.50,17.40,3.40,-0.51
,4,2,8.91,24.28,57.22,19.00,17,0.00,20.60,64.20,1.70,10.50,17.40,3.40,-3.40
,4,2,2.60,18.95,76.24,19.00,46,0.00,20.60,64.20,1.70,10.50,17.40,3.40,6.11
,4,2,7.79,44.68,76.34,19.70,46,0.00,20.60,64.20,1.70,10.50,17.40,3.40,4.33
,4,2,15.58,32.77,78.26,18.00,46,0.00,20.60,64.20,1.70,10.50,17.40,3.40,10.90
,4,2,2.32,28.35,79.34,19.30,75,0.00,20.60,64.20,1.70,10.50,17.40,3.40,22.79
,4,2,2.07,13.06,77.48,19.00,75,0.00,20.60,64.20,1.70,10.50,17.40,3.40,3.50
,4,2,0.82,26.29,97.53,19.00,75,0.00,20.60,64.20,1.70,10.50,17.40,3.40,13.60
22/07/2015,12,3,8.27,139.18,49.40,17.70,0,0.00,19.80,53.70,1.40,10.20,19.60,3.70,-0.15
,12,3,8.72,60.11,55.20,18.80,0,0.00,19.80,53.70,1.40,10.20,19.60,3.70,2.46
,12,3,4.33,32.27,44.84,21.50,0,0.00,19.80,53.70,1.40,10.20,19.60,3.70,2.09
,12,3,6.09,196.27,54.98,21.50,17,0.00,19.80,53.70,1.40,10.20,19.60,3.70,2.77
,12,3,10.68,33.51,56.31,20.50,17,0.00,19.80,53.70,1.40,10.20,19.60,3.70,1.74
,12,3,4.65,47.72,59.22,19.80,17,0.00,19.80,53.70,1.40,10.20,19.60,3.70,0.59
,12,3,23.05,235.17,60.24,19.80,46,0.00,19.80,53.70,1.40,10.20,19.60,3.70,6.99
,12,3,4.54,96.94,61.88,18.50,46,0.00,19.80,53.70,1.40,10.20,19.60,3.70,0.08
,12,3,14.34,65.85,66.17,19.80,46,0.00,19.80,53.70,1.40,10.20,19.60,3.70,13.57
,12,3,2.11,57.13,67.05,18.80,75,0.00,19.80,53.70,1.40,10.20,19.60,3.70,1.61
,12,3,1.39,37.31,61.47,19.50,75,0.00,19.80,53.70,1.40,10.20,19.60,3.70,0.24
,12,3,2.84,25.96,62.89,19.50,75,0.00,19.80,53.70,1.40,10.20,19.60,3.70,7.39
24/07/2015,14,4,7.05,40.10,49.76,17.00,0,0.00,18.70,60.00,1.90,10.40,17.80,3.50,-0.32
,14,4,5.78,42.58,52.18,18.80,0,0.00,18.70,60.00,1.90,10.40,17.80,3.50,1.53
,14,4,2.93,30.47,42.25,21.80,0,0.00,18.70,60.00,1.90,10.40,17.80,3.50,-1.53
,14,4,3.33,38.96,57.98,19.50,17,0.00,18.70,60.00,1.90,10.40,17.80,3.50,1.86
,14,4,3.10,24.01,48.39,19.50,17,0.00,18.70,60.00,1.90,10.40,17.80,3.50,1.76
,14,4,2.59,41.15,54.97,19.00,17,0.00,18.70,60.00,1.90,10.40,17.80,3.50,4.43
,14,4,5.32,54.79,70.27,19.30,46,0.00,18.70,60.00,1.90,10.40,17.80,3.50,4.98
,14,4,1.23,68.94,70.12,19.00,46,0.00,18.70,60.00,1.90,10.40,17.80,3.50,1.04
,14,4,3.31,49.91,74.89,20.00,46,0.00,18.70,60.00,1.90,10.40,17.80,3.50,14.33
,14,4,2.54,44.35,76.96,20.50,75,0.00,18.70,60.00,1.90,10.40,17.80,3.50,6.40
,14,4,1.88,40.07,74.91,19.50,75,0.00,18.70,60.00,1.90,10.40,17.80,3.50,0.25
,14,4,2.05,60.72,73.78,19.80,75,0.00,18.70,60.00,1.90,10.40,17.80,3.50,13.27
04/08/2015,25,5,8.00,105.10,53.92,17.50,0,0.00,19.60,45.70,1.30,10.60,20.90,4.00,-3.00
,25,5,5.89,132.03,51.40,19.20,0,0.00,19.60,45.70,1.30,10.60,20.90,4.00,0.27
,25,5,9.23,176.78,48.00,18.50,0,0.00,19.60,45.70,1.30,10.60,20.90,4.00,4.03
,25,5,1.67,212.36,77.48,15.80,17,0.00,19.60,45.70,1.30,10.60,20.90,4.00,1.08
,25,5,4.29,163.25,59.94,18.50,17,0.00,19.60,45.70,1.30,10.60,20.90,4.00,-1.42
,25,5,3.73,132.54,55.31,18.80,17,0.00,19.60,45.70,1.30,10.60,20.90,4.00,-3.89
,25,5,1.73,111.41,75.77,18.50,46,0.00,19.60,45.70,1.30,10.60,20.90,4.00,4.14
,25,5,1.09,47.67,77.59,19.10,46,0.00,19.60,45.70,1.30,10.60,20.90,4.00,2.90
,25,5,5.13,180.85,77.40,17.00,46,0.00,19.60,45.70,1.30,10.60,20.90,4.00,5.61
,25,5,1.13,171.60,79.68,18.30,75,0.00,19.60,45.70,1.30,10.60,20.90,4.00,7.31
,25,5,1.76,149.09,68.62,19.00,75,0.00,19.60,45.70,1.30,10.60,20.90,4.00,7.75
,25,5,4.28,165.46,78.24,18.30,75,0.00,19.60,45.70,1.30,10.60,20.90,4.00,2.56
13/08/2015,34,6,7.57,38.58,37.58,18.50,0,0.00,18.40,50.10,2.90,10.90,21.80,4.70,2.81
,34,6,3.91,136.61,41.78,18.80,0,0.00,18.40,50.10,2.90,10.90,21.80,4.70,-2.89
,34,6,4.91,379.53,39.60,19.80,0,0.00,18.40,50.10,2.90,10.90,21.80,4.70,-5.84
,34,6,0.51,149.10,47.66,18.50,17,0.00,18.40,50.10,2.90,10.90,21.80,4.70,1.06
,34,6,1.60,99.10,42.32,18.00,17,0.00,18.40,50.10,2.90,10.90,21.80,4.70,-3.18
,34,6,12.88,79.01,53.00,18.60,17,0.00,18.40,50.10,2.90,10.90,21.80,4.70,-2.26
,34,6,0.96,195.07,66.81,17.00,46,0.00,18.40,50.10,2.90,10.90,21.80,4.70,1.95
,34,6,0.62,189.86,66.93,18.00,46,0.00,18.40,50.10,2.90,10.90,21.80,4.70,3.35
,34,6,2.54,167.58,14.08,17.30,46,0.00,18.40,50.10,2.90,10.90,21.80,4.70,4.92
,34,6,0.72,197.67,74.60,18.60,75,0.00,18.40,50.10,2.90,10.90,21.80,4.70,3.31
,34,6,1.66,220.59,77.51,18.60,75,0.00,18.40,50.10,2.90,10.90,21.80,4.70,-0.59
,34,6,0.70,223.76,69.47,18.00,75,0.00,18.40,50.10,2.90,10.90,21.80,4.70,1.42
25/08/2015,46,7,4.54,110.22,41.57,20.00,0,0.00,24.30,37.20,1.80,10.40,21.90,5.30,-1.56
,46,7,15.65,53.57,40.87,20.00,0,0.00,24.30,37.20,1.80,10.40,21.90,5.30,-3.36
,46,7,1.82,123.18,44.22,21.00,0,0.00,24.30,37.20,1.80,10.40,21.90,5.30,-2.48
,46,7,6.01,118.47,45.18,20.00,17,0.00,24.30,37.20,1.80,10.40,21.90,5.30,-1.46
,46,7,8.10,76.23,41.88,20.30,17,0.00,24.30,37.20,1.80,10.40,21.90,5.30,10.18
,46,7,54.21,404.68,47.12,21.30,17,0.00,24.30,37.20,1.80,10.40,21.90,5.30,3.22
,46,7,4.11,119.05,61.27,20.00,46,0.00,24.30,37.20,1.80,10.40,21.90,5.30,1.93
,46,7,3.46,82.51,63.85,20.00,46,0.00,24.30,37.20,1.80,10.40,21.90,5.30,-0.96
,46,7,2.04,85.85,67.15,20.50,46,0.00,24.30,37.20,1.80,10.40,21.90,5.30,6.69
,46,7,0.96,86.46,70.74,21.50,75,0.00,24.30,37.20,1.80,10.40,21.90,5.30,8.51
